,Unnamed: 0,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE
352,14,2018-01-14,Sangre,TL,3279.5,-4.5,0.0,-8.0,-11.0,29.0,2.0,99.0,11.0,0.0,0.0,0.0,0.0,0.0,16.549999999999994,4.695
378,14,2018-01-15,Sangre,TL,3279.5,-8.0,2.5,-8.5,-8.0,69.0,6.0,83.0,10.0,0.0,0.0,0.125,0.0,0.0,13.95,4.824999999999998
404,14,2018-01-16,Sangre,TL,3279.5,-9.5,-3.0,-16.0,-14.0,43.0,5.0,144.0,11.0,0.0,0.0,2.03,0.0,0.0,16.549999999999994,4.575
430,14,2018-01-17,Sangre,TL,3279.5,-4.0,-2.5,-11.5,-20.0,17.0,5.0,113.0,10.0,0.0,0.0,1.27,0.0,0.0,15.25,4.7
456,14,2018-01-18,Sangre,TL,3279.5,0.0,1.5,-8.0,-15.0,20.0,2.0,95.0,10.0,0.0,0.0,0.125,0.0,0.0,13.95,4.7
482,14,2018-01-19,Sangre,TL,3279.5,1.5,4.5,-4.5,-12.0,20.0,11.0,186.0,27.0,0.0,0.0,0.0,0.0,0.0,11.45,4.445
508,14,2018-01-20,Sangre,TL,3279.5,-1.0,5.0,-2.5,-8.0,41.0,8.0,118.0,19.0,0.0,0.0,0.0,11.4,0.0,13.95,4.32
534,14,2018-01-21,Sangre,TL,3279.5,-9.0,2.5,-9.5,-10.0,83.0,8.0,15.0,8.0,0.0,0.0,1.4,0.5,0.1,30.5,5.465
560,14,2018-01-22,Sangre,TL,3279.5,-9.0,-8.0,-17.5,-17.0,42.0,5.0,111.0,11.0,0.0,0.1,0.505,0.0,0.91,31.75,5.715
586,14,2018-01-23,Sangre,TL,3279.5,-8.0,-5.5,-12.5,-15.0,31.0,5.0,34.0,13.0,0.0,0.43,0.0,0.0,0.0,27.95,5.84
612,14,2018-01-24,Sangre,TL,3279.5,-1.0,-1.0,-8.5,-17.0,21.0,23.0,236.0,32.0,0.0,0.13,0.0,0.0,0.0,26.65,5.965
638,14,2018-01-25,Sangre,TL,3279.5,-2.5,1.5,-4.0,-15.0,28.0,11.0,103.0,19.0,0.0,0.03,0.125,0.0,0.0,25.4,5.715
664,14,2018-01-26,Sangre,TL,3279.5,-8.5,-0.5,-9.5,-9.0,71.0,3.0,301.0,14.0,0.0,0.0,0.125,0.0,0.03,25.4,5.84
690,14,2018-01-27,Sangre,TL,3279.5,-6.5,-4.5,-14.0,-26.0,11.0,21.0,225.0,34.0,0.0,0.0,0.0,0.0,0.0,25.4,5.715
716,14,2018-01-28,Sangre,TL,3279.5,-2.0,-2.0,-7.0,-13.0,26.0,10.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,22.85,5.84
742,14,2018-01-29,Sangre,TL,3279.5,1.0,2.5,-7.5,-11.0,29.0,2.0,133.0,5.0,0.0,0.0,0.0,0.0,0.0,21.6,5.715
768,14,2018-01-30,Sangre,TL,3279.5,1.5,5.0,-1.5,-14.0,19.0,18.0,197.0,35.0,0.0,0.0,0.0,0.0,0.0,22.85,5.465
795,15,2018-01-31,Sangre,TL,3279.5,1.5,4.5,-1.0,-12.0,20.0,24.0,178.0,66.0,0.0,0.0,0.255,0.0,0.0,17.799999999999994,5.59
